,все услуги,Автокредиты,Вклады,Дебетовые карты,Депозиты для бизнеса,Дистанционное обслуживание,Ипотечные кредиты,Кредитные карты,Кредитование бизнеса,Лизинг,Обслуживание юрлиц,Потребительские кредиты,Реструктуризация кредитов
Росавтобанк,4.53,3.67,3.57,4.35,4.97,3.36,3.77,4.15,4.65,4.74,3.25,4.75,#NUM!
Авангард,3.86,4.34,3.23,4.56,4.17,2.72,4.27,3.78,4.70,4.86,4.58,4.82,#NUM!
ДельтаКредит,4.1,4.53,4.86,4.30,3.30,2.95,3.02,4.05,4.72,4.02,3.63,4.47,#NUM!
СБ Банк (Судостроительный банк),3.85,4.33,3.50,2.83,3.27,4.40,3.57,3.55,4.48,3.46,4.54,3.05,#NUM!
Тинькофф Банк,3.43,3.62,4.37,3.07,2.89,4.06,4.42,3.19,2.86,3.57,2.83,3.62,2.66
РосинтерБанк,2.79,2.11,2.92,2.18,2.90,2.52,3.29,2.47,2.60,2.21,3.36,2.17,3.11
АйМаниБанк,2.25,2.60,2.42,2.61,2.21,2.74,1.93,2.23,2.46,1.58,1.75,1.62,2.45
Транспортный,2.83,2.78,2.45,3.19,3.31,3.33,2.01,3.17,2.06,3.36,3.56,2.00,3.58
Бинбанк,2.1,1.82,2.10,1.62,2.38,1.92,2.25,1.81,2.39,2.22,2.06,2.15,2.50
Петрокоммерц,2.28,2.50,2.50,1.60,1.68,2.39,2.68,2.71,2.87,2.22,2.71,2.10,1.99
Интеркоммерц Банк,2.63,2.19,2.72,2.98,2.38,2.62,3.34,1.86,2.82,3.08,2.04,3.37,2.82
БМ-Банк (бывш. Банк Москвы),2.22,2.51,2.31,2.13,2.26,2.57,1.83,2.23,2.73,2.29,2.57,1.69,2.28
Совкомбанк,2.08,2.67,1.91,2.34,2.24,1.79,2.59,2.09,1.89,2.14,2.24,2.06,2.56
Связной Банк,2.2,2.58,1.79,2.63,2.04,2.38,1.64,2.15,1.95,2.01,2.38,1.54,1.73
МДМ Банк,2.24,2.91,2.59,2.55,1.83,2.75,2.05,2.02,1.60,2.74,1.71,2.65,2.51
ВТБ 24,1.97,2.56,1.59,2.41,1.70,2.30,2.26,2.45,2.22,1.44,2.38,1.64,1.91
Альфа-Банк,1.98,1.50,1.99,2.01,1.61,2.14,1.80,2.17,2.13,2.19,2.43,1.39,2.35
